biID,price,date,pID
10000000,43,2020-02-15,500001
10000001,139,2020-02-15,500001
10000002,93,2020-02-15,500001
10000003,270,2020-02-15,500001
10000004,342,2020-02-15,500001
10000005,90,2020-02-15,500002
10000006,934,2020-02-15,500002
10000007,813,2020-02-15,500003
10000008,784,2020-02-15,500003
10000009,1213,2020-02-15,500003
10000010,21,2020-02-15,500004
10000011,42,2020-02-15,500004
10000012,526,2020-02-15,500004
10000013,462,2020-02-15,500004
10000014,362,2020-02-15,500004
10000015,174,2020-02-15,500005
10000016,74,2020-02-15,500005
10000017,72,2020-02-15,500005
10000018,573,2020-02-15,500005
10000019,75,2020-02-15,500005
10000020,354,2020-02-15,500006
10000021,123,2020-02-15,500006
10000022,346,2020-02-15,500006
10000023,57,2020-02-15,500006
10000024,342,2020-02-15,500006
10000025,567,2020-02-15,500007
10000026,854,2020-02-15,500007
10000027,86,2020-02-15,500007
10000028,42,2020-02-15,500007
10000029,685,2020-02-15,500007
10000030,768,2020-02-16,500008
10000031,488,2020-02-16,500008
10000032,523,2020-02-16,500008
10000033,41,2020-02-16,500008
10000034,562,2020-02-16,500009
10000035,13,2020-02-16,500009
10000036,435,2020-02-16,500009
10000037,85,2020-02-16,500010
10000038,475,2020-02-16,500010
10000039,26,2020-02-16,500010
10000040,786,2020-02-16,500011
10000041,34,2020-02-16,500011
10000042,57,2020-02-16,500011
10000043,324,2020-02-16,500012
10000044,432,2020-02-16,500012
10000045,647,2020-02-16,500013
10000046,224,2020-02-16,500013
10000047,64,2020-02-16,500013
10000048,452,2020-02-16,500013
10000049,23,2020-02-16,500014
10000050,463,2020-02-17,500014
10000051,765,2020-02-17,500015
10000052,973,2020-02-17,500015
10000053,422,2020-02-17,500016
10000054,231,2020-02-17,500016
10000055,65,2020-02-17,500016
10000056,980,2020-02-17,500017
10000057,920,2020-02-17,500017
10000058,703,2020-02-17,500018
10000059,743,2020-02-17,500019
10000060,234,2020-02-17,500020
10000061,463,2020-02-17,500020
10000062,112,2020-02-17,500020
10000063,412,2020-02-17,500020
10000064,323,2020-02-17,500021
10000065,235,2020-02-17,500021
10000066,936,2020-02-17,500021
10000067,134,2020-02-17,500021
10000068,546,2020-02-17,500022
10000069,342,2020-02-17,500022
10000070,234,2020-02-18,500023
10000071,890,2020-02-18,500023
10000072,43,2020-02-18,500024
10000073,22,2020-02-18,500024
10000074,432,2020-02-18,500024
10000075,42,2020-02-18,500024
10000076,298,2020-02-18,500025
10000077,254,2020-02-18,500025
10000078,549,2020-02-18,500025
10000079,943,2020-02-18,500026
10000080,489,2020-02-18,500026
10000081,634,2020-02-18,500026
10000082,198,2020-02-18,500027
10000083,233,2020-02-18,500027
10000084,928,2020-02-18,500027
10000085,32,2020-02-18,500027
10000086,498,2020-02-18,500028
10000087,332,2020-02-18,500028
10000088,809,2020-02-18,500028
10000089,230,2020-02-18,500029
10000090,425,2020-02-18,500029
10000091,594,2020-02-18,500029
10000092,52,2020-02-18,500030
10000093,420,2020-02-18,500015
10000094,594,2020-02-18,500016
10000095,697,2020-02-18,500015
10000096,92,2020-02-18,500017
10000097,543,2020-02-18,500014
10000098,23,2020-02-18,500015
10000099,928,2020-02-18,500017
